,year,group,text
44,1875,7,"['die', 'verehrung', 'des', 'klassischen', 'alterthums', 'wie', 'sie', 'die', 'italiäner', 'zeigten', 'das', 'heisst', 'also', 'die', 'einzig', 'ernsthafte', 'uneigennützige', 'hingebende', 'verehrung', 'welche', 'das', 'alterthum', 'bis', 'jetzt', 'gefunden', 'hat', 'ist', 'ein', 'grossartiges', 'beispiel', 'der', 'don', 'quixoterie:', 'und', 'so', 'etwas', 'ist', 'also', 'philologie', 'besten', 'falls', 'so', 'schon', 'bei', 'den', 'alexandrinischen', 'gelehrten', 'so', 'bei', 'allen', 'den', 'sophisten', 'des', 'ersten', 'und', 'zweiten', 'jahrhunderts', 'bei', 'den', 'atticisten', 'usw', 'man', 'ahmt', 'etwas', 'rein', 'chimärisches', 'nach', 'und', 'läuft', 'einer', 'wunderwelt', 'hinterdrein', 'die', 'nie', 'existirt', 'hat', 'es', 'geht', 'ein', 'solcher', 'zug', 'schon', 'durch', 'das', 'alterthum:', 'die', 'art', 'wie', 'man', 'die', 'homerischen', 'helden', 'copirte', 'der', 'ganze', 'verkehr', 'mit', 'dem', 'mythus', 'hat', 'etwas', 'davon', 'allmählich', 'ist', 'das', 'ganze', 'griechenthum', 'selber', 'zu', 'einem', 'objecte', 'des', 'don', 'quixote', 'geworden', 'man', 'kann', 'unsre', 'moderne', 'welt', 'nicht', 'verstehn', 'wenn', 'man', 'nicht', 'den', 'ungeheuren', 'einfluss', 'des', 'rein', 'phantastischen', 'einsieht', 'dem', 'steht', 'nun', 'entgegen:', 'es', 'kann', 'keine', 'nachahmung', 'geben', 'alles', 'nachahmen', 'ist', 'nur', 'ein', 'künstlerisches', 'phänomen', 'also', 'auf', 'den', 'schein', 'gerichtet;', 'etwas', 'lebendiges', 'kann', 'manieren', 'gedanken', 'usw', 'annehmen', 'durch', 'nachahmung', 'aber', 'sie', 'kann', 'nichts', 'erzeugen', 'eine', 'kultur', 'welche', 'der', 'griechischen', 'nachläuft', 'kann', 'nichts', 'erzeugen', 'wohl', 'kann', 'der', 'schaffende', 'überall', 'her', 'entlehnen', 'und', 'sich', 'nähren', 'und', 'so', 'werden', 'wir', 'auch', 'nur', 'als', 'schaffende', 'etwas', 'von', 'den', 'griechen', 'haben', 'können', 'worin', 'aber', 'wären', 'die', 'philologen', 'schaffende!', 'es', 'muss', 'einige', 'unreinliche', 'gewerbe', 'geben', 'abdecker;', 'auch', 'correctoren:', 'sollen', 'die', 'philologen', 'etwa', 'so', 'ein', 'unreinliches', 'gewerbe', 'vorstellen?']"
45,1875,8,"['bücher', 'für', '8', 'jahre']"
46,1875,9,"['der', 'werth', 'des', 'lebens', 'von', 'e', 'dühring', '1865']"
47,1875,10,"['wer', 'den', 'höchsten', 'augenblick', 'geniesst', 'erblindet']"
48,1875,11,"['vorarbeit', 'zu', 'richard', 'wagner', 'in', 'bayreuth']"
49,1875,12,"['einfluß', 'der', 'oresteia', 'vordramatischer', 'theil']"
50,1875,13,"['—', '—', '—', 'musste', 'die', 'wahre', 'musik', 'erklingen', 'weil', 'die', 'menschen', 'sie', 'am', 'wenigsten', 'verdienten', 'aber', 'am', 'meisten', 'ihrer', 'bedurften?', 'man', 'versenke', 'sich', 'nur', 'einmal', 'in', 'das', 'überschwängliche', 'wunder', 'dieser', 'möglichkeit:', 'schaut', 'man', 'von', 'da', 'aus', 'auf', 'das', 'leben', 'zurück', 'so', 'leuchtet', 'es', 'so', 'trübe', 'und', 'umnebelt', 'es', 'vorher', 'auch', 'erscheinen', 'mochte;', 'es', 'wird', 'selber', 'zum', 'abbild', 'und', 'gleichniss', 'der', 'musik', 'beethovens', 'und', 'spricht', 'in', 'der', 'form', 'der', 'erscheinung', 'von', 'erlösung', 'und', 'wiedergewonnener', 'unschuld', 'nie', 'hat', 'eine', 'kunst', 'der', 'welt', 'etwas', 'so', 'heiteres', 'geschaffen', 'als', 'diese', 'symphonien', 'in', 'a-dur', 'und', 'f-dur', 'mit', 'allen', 'ihnen', 'so', 'innig', 'verwandten', 'tonwerken', 'des', 'meisters', 'aus', 'der', 'göttlichen', 'zeit', 'seiner', 'völligen', 'taubheit', 'die', 'wirkung', 'hiervon', 'auf', 'den', 'hörer', 'ist', 'befreiung', 'von', 'aller', 'schuld', '—', 'die', 'wirkung', 'des', 'heiteren', 'geht', 'hier', 'sofort', 'über', 'alle', 'befriedigung', 'durch', 'das', 'schöne', 'weit', 'hinaus', 'jeder', 'trotz', 'der', 'erkenntnissstolzen', 'vernunft', 'bricht', 'sich', 'hier', 'sofort', 'an', 'dem', 'zauber', 'der', 'überwältigung', 'unsrer', 'ganzen', 'natur;', 'die', 'erkenntniss', 'flieht', 'mit', 'dem', 'bekenntniss', 'ihres', 'irrthums', 'und', 'die', 'ungeheure', 'freude', 'dieses', 'bekenntnisses', 'ist', 'es', 'in', 'welcher', 'wir', 'aus', 'tiefster', 'seele', 'aufjauchzen', 'so', 'ernsthaft', 'auch', 'die', 'gänzlich', 'gefesselte', 'miene', 'des', 'zuhörers', 'sein', 'erstaunen', 'über', 'die', 'unfähigkeit', 'unseres', 'sehens', 'und', 'denkens', 'gegenüber', 'dieser', 'wahrhaftigsten', 'welt', 'uns', 'verräth', '—', 'aller', 'schmerz', 'des', 'daseins', 'bricht', 'sich', 'an', 'diesem', 'ungeheuren', 'behagen', 'des', 'spieles', 'mit', 'ihm;', 'der', 'weltenschöpfer', 'brahma', 'lacht', 'über', 'sich', 'selbst', 'da', 'er', 'die', 'täuschung', 'über', 'sich', 'selbst', 'erkennt;', 'die', 'wiedergewonnene', 'unschuld', 'spielt', 'scherzend', 'mit', 'dem', 'stachel', 'der', 'gesühnten', 'schuld', 'das', 'befreite', 'gewissen', 'neckt', 'sich', 'mit', 'seiner', 'ausgestandenen', 'qual', '—', 'jetzt', 'warf', 'er', 'den', 'blick', 'auch', 'auf', 'die', 'erscheinung', 'die', 'durch', 'sein', 'inneres', 'licht', 'beschienen', 'in', 'wundervollem', 'reflexe', 'sich', 'wieder', 'seinem', 'innern', 'mittheilte', 'jetzt', 'spricht', 'wiederum', 'nur', 'das', 'wesen', 'der', 'dinge', 'zu', 'ihm', 'und', 'zeigt', 'ihm', 'diese', 'in', 'dem', 'ruhigen', 'lichte', 'der', 'schönheit', 'jetzt', 'versteht', 'er', 'den', 'wald', 'den', 'bach', 'die', 'wiese', 'den', 'blauen', 'aether', 'die', 'heitre', 'menge', 'das', 'liebende', 'paar', 'den', 'gesang', 'der', 'vögel', 'den', 'zug', 'der', 'wolken', 'das', 'brausen', 'des', 'sturmes', 'die', 'wonne', 'der', 'selig', 'bewegten', 'ruhe', 'da', 'durchdringt', 'all', 'sein', 'sehen', 'und', 'gestalten', 'diese', 'wunderbare', 'heiterkeit', 'die', 'erst', 'durch', 'ihn', 'der', 'musik', 'zu', 'eigen', 'geworden', 'ist', 'selbst', 'die', 'klage', 'so', 'innig', 'ureigen', 'allem', 'tönen', 'beschwichtigt', 'sich', 'zum', 'lächeln:', 'die', 'welt', 'gewinnt', 'ihre', 'kindesunschuld', 'wieder', 'mit', 'mir', 'seid', 'heute', 'im', 'paradiese’', '—', 'wer', 'hörte', 'sich', 'dieses', 'erlöserwort', 'nicht', 'zugerufen', 'wenn', 'er', 'der', 'pastoral-symphonie', 'lauschte?']"
51,1875,14,['1']
52,1876,15,"['hypothetische', 'sätze', 'im', 'deutschen', 'wenn', 'drückt', 'ursprünglich', 'einen', 'wunsch', 'aus;', 'die', 'sätze', 'dieser', 'form', 'ist', 'dies', 'so', 'so', 'wird', 'daraus', 'enthalten', 'im', 'vordersatz', 'eine', 'frage', 'oder', 'einen', 'zweifel', 'deshalb', 'ist', 'diese', 'letztere', 'form', 'nicht', 'völlig', 'mit', 'der', 'ersteren', 'zu', 'verwechseln', 'noch', 'weniger', 'hat', 'sie', 'etwa', 'allein', 'recht', '(wie', 'dies', 'w<agner>', 'zu', 'meinen', 'scheint', 'der', 'sie', 'fast', 'ausschließlich', 'anwendet)']"
53,1876,16,"['i', 'aesthetik', 'ii', 'zur', 'ethik', 'und', 'glückseligkeitslehre']"
54,1876,17,"['über', 'das', 'aesthetische:', 'einiges', 'derbe']"
55,1876,18,"['die', 'pflugschar']"
56,1876,19,"['bex', 'vom', '3', 'october', 'an']"
57,1876,20,"['14', 'es', 'giebt', 'eine', 'doppelte', 'aesthetik', 'die', 'eine', 'geht', 'von', 'den', 'wirkungen', 'der', 'kunst', 'aus', 'und', 'schliesst', 'auf', 'entsprechende', 'ursachen;', 'sie', 'steht', 'mit', 'diesem', 'verfahren', 'unter', 'dem', 'zauber', 'der', 'kunst', 'und', 'ist', 'selber', 'eine', 'art', 'dichtung', 'und', 'rausch:', 'ein', 'hineinerklingen', 'der', 'kunst', 'in', 'die', 'saiten', 'der', 'wissenschaft', 'die', 'andere', 'aesthetik', 'geht', 'von', 'den', 'vielfach', 'absurden', 'und', 'kindischen', 'anfängen', 'der', 'kunst', 'aus:', 'sie', 'vermag', 'die', 'thatsächlichen', 'wirkungen', 'daraus', 'nicht', 'abzuleiten', 'und', 'wird', 'desshalb', 'versuchen', 'die', 'empfindung', 'über', 'die', 'kunst', 'überhaupt', 'zu', 'ermässigen', 'und', 'jene', 'wirkungen', 'auf', 'alle', 'weise', 'zu', 'verdächtigen', 'als', 'ob', 'sie', 'erlogen', 'oder', 'krankhaft', 'seien', 'woraus', 'klar', 'wird', 'welche', 'aesthetik', 'der', 'kunst', 'nützt', 'welche', 'nicht', 'und', 'inwiefern', 'beide', 'keine', 'wissenschaft', 'sein', 'können']"
58,1876,21,"['gletscher', 'steinchen', 'blümchen']"
59,1877,22,"['fenster', 'grüner', 'gaze']"
60,1876,23,"['die', 'geschickten', 'bewegungen', 'des', 'fußes', 'beim', 'ausgleiten', 'stolpern', 'klettern', 'sind', 'nicht', 'die', 'resultate', 'eines', 'blind', 'wirkenden', 'aber', 'zweckmäßigen', 'intellektes', 'sondern', 'einmal', 'angelernt', 'wie', 'die', 'bewegungen', 'der', 'finger', 'beim', 'klavierspiel', 'jetzt', 'wird', 'sehr', 'viel', 'von', 'dieser', 'fertigkeit', 'gleich', 'vererbt']"
61,1877,24,"['zur', 'kunstlehre']"
62,1877,25,['socialismus']
63,1877,26,"['verkleinerungssucht', 'als', 'nützlich', 'nicht', 'wenige', 'menschen', 'haben', 'um', 'ihre', 'selbstachtung', 'und', 'eine', 'gewisse', 'tüchtigkeit', 'im', 'handeln', 'aufrecht', 'zu', 'erhalten', 'durchaus', 'nöthig', 'alle', 'ihnen', 'bekannten', 'menschen', 'in', 'ihrer', 'vorstellung', 'herabzusetzen', 'und', 'zu', 'verkleinern', 'indem', 'wir', 'alle', 'den', 'vortheil', 'jener', 'tüchtigkeit', 'haben', 'müssen', 'wir', 'das', 'nothwendige', 'werkzeug', 'dazu', 'den', 'neid', 'und', 'die', 'verkleinerungssucht', 'wohl', 'oder', 'übel', 'gutheissen']"
64,1878,27,"['hesiod’s', 'kunstmittel', 'der', 'fabula']"
65,1878,28,['memorabilia']
66,1878,29,"['was', 'goethe', 'bei', 'h', 'kleist', 'empfand', 'war', 'sein', 'gefühl', 'des', 'tragischen', 'von', 'dem', 'er', 'sich', 'abwandte:', 'es', 'war', 'die', 'unheilbare', 'seite', 'der', 'natur', 'er', 'selbst', 'war', 'conciliant', 'und', 'heilbar', 'das', 'tragische', 'hat', 'mit', 'unheilbaren', 'die', 'kom<ödie>', 'mit', 'heilbaren', 'leiden', 'zu', 'thun']"
67,1878,30,"['mein', 'fehler', 'war', 'der', 'dass', 'ich', 'nach', 'bayreuth', 'mit', 'einem', 'ideal', 'kam:', 'so', 'musste', 'ich', 'denn', 'die', 'bitterste', 'enttäuschung', 'erleben', 'die', 'überfülle', 'des', 'hässlichen', 'verzerrten', 'überwürzten', 'stiess', 'mich', 'heftig', 'zurück']"
68,1878,31,"['theopomp', 'ganz', 'eifersucht', 'auch', 'gegen', 'plato', 'als', 'größten', 'litterator']"
69,1878,32,"['ihr', 'gleicht', 'dem', 'grundton', '—', '—', '—']"
70,1878,33,"['treppen-glück', '—', 'knaben', 'auf', 'eis', 'eine', 'windlaterne', 'in', 'der', 'mondnacht', 'am', 'bach']"
71,1878,34,"['es', 'giebt', 'gewiß', 'viel', 'feinere', 'köpfe', 'stärkere', 'und', 'edlere', 'herzen', 'als', 'ich', 'habe:', 'aber', 'sie', 'frommen', 'mir', 'nur', 'soweit', 'als', 'ich', 'ihnen', 'gleich', 'komme', 'und', 'wir', 'uns', 'helfen', 'können', 'was', 'dann', 'übrig', 'bleibt', 'könnte', 'für', 'mich', 'von', 'mir', 'aus', 'gesehen', 'fehlen:', 'die', 'welt', 'bliebe', 'immer', 'noch', 'ganz', 'als', 'meine', 'welt']"
72,1878,35,"['vernachläss<igung>', 'der', 'arbeiter', '—', '—', '—']"
73,1878,36,"['der', 'darwinist', '—', 'st', 'augustinus', 'sagte:', 'ego', 'sum', 'veritas', 'et', 'vita', 'dixit', 'dominus;', 'non', 'dixit:', 'ego', 'sum', 'consuetudo!', '—', 'schade', 'darum:', 'so', 'ist', 'er', 'nicht', 'die', 'wahrheit', 'und', 'weiß', 'nicht', 'was', 'das', 'leben', 'ist']"
74,1878,37,"['was', 'hat', 'man', 'davon', 'wenn', 'man', 'etwas', 'aller', 'welt', 'und', 'doch', 'nicht', 'sich', 'zu', 'danke', 'macht!']"
75,1878,38,"['unerwartete', 'belehrung', '—', 'erst', 'ein', 'leben', 'voller', 'schmerzen', 'und', 'entsagungen', 'lehrt', 'uns', 'wie', 'das', 'dasein', 'ganz', 'mit', 'honigseim', 'durchtränkt', 'ist:', 'weshalb', 'die', 'askese', 'nicht', 'selten', 'aus', 'einem', 'verschmitzten', 'epikureismus', 'gewählt', 'sein', 'mag', '—', 'die', 'pessimisten', 'sind', 'kluge', 'leute', 'mit', 'verdorbenem', 'magen:', 'sie', 'rächen', 'sich', 'mit', 'dem', 'kopf', 'für', 'ihre', 'schlechte', 'verdauung']"
76,1878,39,['litterat<ur>']
77,1879,40,"['octobermensch', 'bauern', 'im', 'schwarzwald']"
78,1879,41,"['ein', 'philosoph', 'der', 'des', 'längeren', 'einmal', 'in', 'der', 'genannten', 'weise', 'gelobt', 'wurde', 'schrieb', 'während', 'dem', 'mit', 'seinem', 'stab', 'in', 'den', 'sand:', 'eheu', 'triviam', 'deam', 'fortassis', 'amplexus', 'sim?']"
79,1879,42,"['curiosa', 'unserer', 'modernen', 'schriftsteller', 'welche', 'einem', 'kenner', 'der', 'alten', 'sprachen', 'wie', 'schmutzflecken', 'anmuthen']"
80,1879,43,"['st', 'moritzer', 'gedanken-gänge', '1879']"
81,1879,44,"['weißt', 'du', 'daß', 'jeder', 'von', 'den', 'eigenschaften', 'der', 'menschen', 'und', 'dinge', 'denen', 'du', 'jetzt', 'deine', 'schönsten', 'worte', 'giebst', 'ohne', 'weiteres', 'annimmt', 'es', 'seien', 'deine', 'eigenschaften']"
82,1879,45,"['jene', 'sonnigen', 'langmüthigen', 'octobertage', 'an', 'denen', 'unser', 'gemäßigtes', 'klima', 'zu', 'seiner', 'seligkeit', 'und', 'fülle', 'kommt']"
83,1879,46,"['gaudii', 'maxima', 'pars', 'est', 'oblivio', 'dolor', 'de', 'se', 'ipso', 'meditatur']"
84,1879,47,"['er', 'hat', 'einen', 'starken', 'willen', 'sein', 'intellekt', 'sein', 'urtheil', 'und', 'phantasie', 'ist', 'sehr', 'gleich', 'in', 'versch<iedenen>', 'zeiten', 'sagt', 'dieselben', 'dinge', 'oder', 'so', 'nahe', 'und', 'reizvoll', '—']"
85,1880,1,"['vom', 'aberglauben']"
86,1880,2,"['von', 'der', 'knechtschaft', 'des', 'geistes', '(wir', 'übertragen', 'die', 'vorgänge', 'der', 'politischen', 'tyrannis', 'und', 'knechtschaft', 'auf', 'das', 'gebiet', 'des', 'geistes']"
87,1880,3,"['l’ombra', 'di', 'venezia']"
88,1880,4,"['263', 'das', 'volk', 'oder', 'richtiger', 'die', 'wenigen', 'leute', 'welche', 'sich', 'an', 'den', 'theaterbesuch', 'gewöhnt', 'haben', 'nehmen', 'es', 'als', 'mährchen', 'und', 'geben', 'die', 'feierlichste', 'versicherung', 'es', 'sei', 'nichts', 'geringeres', 'als', 'mythus', 'und', 'alles', 'ernst', 'und', 'nicht', 'ohne', 'philosophische', 'geheimnisse']"
89,1880,5,"['er', 'hat', 'nöthig', 'feindseligkeiten', 'zu', 'säen', 'damit', 'er', 'berühmt', 'bleibe', 'und', 'es', 'noch', 'mehr', 'werde', 'glaubt', 'ihm', 'nicht', 'er', 'weiß', 'ganz', 'genau', 'daß', 'er', 'betrügt', 'er', 'braucht', 'den', 'fanatism', 'der', 'freunde', 'und', 'feinde', 'um', 'sich', 'zu', 'belügen']"
90,1880,6,"['verglichen', 'mit', 'den', 'bramanen', 'kennen', 'wir', 'die', 'menschheit', 'nur', 'in', 'einer', 'ungeheuren', 'ermattung', 'ihres', 'kraftgefühls', 'und', 'ihres', 'glaubens', 'an', 'sich:', 'selbst', 'bei', 'unsern', 'stolzesten', 'philosophen']"
91,1880,7,"['das', 'christenthum', 'hat', 'gelehrt', '1)', 'ein', 'ungeheures', 'mißtrauen', 'gegen', 'uns', '2)', 'und', 'menschenkenntniß', '—', 'diese', 'vorsprünge', 'haben', 'wir', 'vor', 'dem', 'alterthum']"
92,1880,8,"['religion', 'der', 'tapferkeit']"
93,1880,9,"['die', 'pflugschar', 'gedanken', 'über', 'die', 'moralischen', 'vorurtheile', 'von', 'friedrich', 'nietzsche']"
94,1880,10,"['ja', 'wir', 'wollen', 'daß', 'die', 'menschen', 'mäßig', 'und', 'anständig', 'und', 'gerecht', 'leben', '—', 'aber', 'alle?', 'das', 'wage', 'ich', 'nicht', 'zu', 'entscheiden', 'die', 'menschheit', '<würde>', 'zu', 'rasch', 'zu', 'ende', 'sein!']"
95,1881,11,"['gleichgültig', 'sich', 'gegen', 'lob', 'und', 'tadel', 'machen;', 'recepte', 'dafür', 'dagegen', 'einen', 'kreis', 'sich', 'stiften', 'der', 'um', 'unsere', 'ziele', 'und', 'maaßstäbe', 'weiß', 'und', 'der', 'lob', 'und', 'tadel', 'für', 'uns', 'bedeutet']"
96,1881,12,"['nachts', 'vor', 'dem', 'bestirnten', 'himmel:', '—', 'oh', 'dieser', 'todtenstille', 'lärm!', '—']"
97,1881,13,"['jene', 'irrthümer', 'waren', 'bei', 'jener', 'stufe', 'nothwendig', 'als', 'heilmittel:', 'die', 'erziehung', 'des', 'menschengeschlechts', 'als', 'kur', 'hat', 'einen', 'nothwendig-vernünftigen', 'verlauf', '—', 'so', 'sagt', 'ihr']"
98,1881,14,"['das', 'ist', 'etwas', 'neues', 'an', 'der', 'jetzigen', 'musik', 'wie', 'ich', 'sie', 'eben', 'hörte!', 'sie', 'repräsentirt', 'gefühle', 'sie', 'erregt', 'sie', 'nicht', 'mehr', '—', 'man', 'ist', 'zufrieden', 'mit', 'ihrer', 'hülfe', 'zu', 'verstehen!', 'wie', 'bescheiden!']"
99,1881,15,"['dies', 'ist', 'mir', 'bewußt', 'geworden:', 'in', 'welcher', 'seltsamen', 'vereinfachung', 'der', 'dinge', 'und', 'menschen', 'leben', 'wir!', 'wie', 'haben', 'wir', 'es', 'uns', 'leicht', 'und', 'bequem', 'gemacht', 'und', 'unsern', 'sinnen', 'einen', 'freipaß', 'für', 'oberflächliche', 'beobachtung', 'unserm', 'denken', 'für', 'die', 'tollsten', 'muthwilligsten', 'sprünge', 'und', 'fehlschlüsse', 'gegeben!', 'das', 'bild', 'welches', 'allmählich', 'die', 'wissenschaft', 'ausführt', 'ist', 'nicht', 'aus', 'anderen', 'erkenntnißquellen', 'geschöpft:', 'dieselben', 'sinne', 'dasselbe', 'urtheilen', 'und', 'schließen', 'aber', 'gleichsam', 'moralisch', 'geworden', 'stoisch', 'geduldig', 'tapfer', 'gerecht', 'unermüdlich', 'nicht', 'zu', 'beleidigen', 'nicht', 'zu', 'entzücken', 'es', 'sind', 'gute', 'sinne', 'es', 'ist', 'gutes', 'denken', 'was', 'in', 'der', 'wissenschaft', 'arbeitet', 'und', 'diese', 'wissenschaft', 'deckt', 'nun', 'endlich', 'auch', 'dem', 'guten', 'menschen', 'seine', 'oberflächlichkeit', 'und', 'seine', 'fehlschlüsse', 'auf', 'die', 'grundlagen', 'seiner', 'werthschätzungen', 'auch', 'seinen', 'aberglauben', 'daß', 'der', 'moralische', 'mensch', 'die', 'menschheit', 'so', 'weit', 'entwickelt', 'habe:', 'der', 'unmoralische', 'mensch', 'hat', 'nicht', 'weniger', 'antheil', '—', 'und', 'selbst', 'in', 'der', 'wissenschaft', 'sind', 'fortwährend', 'in', 'feinen', 'dosen', 'feindschaft', 'mißtrauen', 'rache', 'widerspruchssinn', 'list', 'argwohn', 'thätig', 'und', 'nöthig:', 'in', 'aller', 'ihrer', 'tapferkeit', 'gerechtigkeit', 'und', 'ἀταραξία', 'ist', 'dieses', 'böse', 'element', 'wenn', 'die', 'einzelnen', 'forscher', 'nicht', 'einseitig', 'eingenommen', 'für', 'ihren', 'einfall', 'wären', 'wenn', 'sie', 'nicht', 'ihre', 'unterhaltung', 'haben', 'wollten', 'ihre', 'mißachtung', 'fürchteten', '—', 'wenn', 'sie', 'sich', 'nicht', 'gegenseitig', 'durch', 'neid', 'und', 'argwohn', 'in', 'schranken', 'hielten', 'so', 'fehlte', 'der', 'wissenschaft', 'ihr', 'gerechter', 'und', 'tapferer', 'charakter', 'aber', 'als', 'ganzes', 'erzieht', 'sie', 'zu', 'gewissen', 'werthschätzungen', '—', 'die', 'res', 'publica', 'der', 'gelehrten', 'erzwingt', 'eine', 'gewisse', 'moralische', 'handlungsweise', 'mindestens', 'den', 'ausdruck', 'derselben:', 'sie', 'sublimirt', 'das', 'böse', 'zu', 'tugenden!']"
100,1881,16,"['fortsetzung', 'der', 'morgenröthe']"
101,1882,17,"['in', 'jeder', 'handlung', 'ist', 'die', 'abgekürzte', 'geschichte', 'alles', 'werdens', 'ego']"
102,1882,18,"['500', 'aufschriften', 'auf', 'tisch', 'und', 'wand', 'für', 'narrn', 'von', 'narrenhand']"
103,1882,19,"['zwei', 'kategorische', 'imperative', '—', 'gewiß!', 'man', 'muß', 'ein', 'knochengerüst', 'haben', '—', 'sonst', 'hat', 'das', 'liebe', 'fleisch', 'keinen', 'halt!', 'aber', 'ihr', 'herrn', 'ohne', 'fleisch', 'ihr', 'knochengerippe', 'der', 'stoa', 'eure', 'predigt', 'sollte', 'lauten:', 'man', 'muß', 'auch', 'fleisch', 'an', 'den', 'knochen', 'haben!']"
104,1882,20,"['narren-buch', 'lieder', 'und', 'sinnsprüche', 'von', 'friedrich', 'nietzsche']"
105,1882,21,"['studien', 'aller', 'art', 'zu', 'die', 'fröhliche', 'wissenschaft', '(la', 'gaya', 'scienza)']"
106,1882,1,"['solitudo', 'continuata', 'dulcescit', 'madonna', 'del', 'sasso', '(locarno)']"
107,1882,2,['metteyya']
108,1882,3,"['auf', 'hoher', 'see', 'ein', 'sentenzen-buch', 'von', 'friedrich', 'nietzsche']"
109,1882,4,"['wir', 'stehen', 'vor', 'der', 'größten', 'erregung', '—', 'und', 'hinter', 'ihr', 'der', 'rückschlag!', 'die', 'sehnsucht', 'ins', 'nichts!', '—', 'und', 'wir', 'wollen', 'weder', 'in', 'dieser', 'erregung', 'noch', 'in', 'dieser', 'sehnsucht', 'zu', 'grunde', 'gehen', '—', 'wir', 'freunde', 'des', 'lebens']"
110,1882,5,"['1', 'wille', 'zum', 'leben?', 'ich', 'fand', 'an', 'seiner', 'stelle', 'immer', 'nur', 'wille', 'zur', 'macht']"
111,1882,6,"['ascetism:', 'nur', 'die', 'vernunft', 'ausbilden']"
112,1883,7,"['zur', 'einleitung']"
113,1883,8,"['die', 'tonga-insulaner', 'schneiden', 'die', 'kleinen', 'finger', 'ab', 'als', 'opfer']"
114,1883,9,"['zu', 'heftig', 'strömt', 'dein', 'quell;', 'er', 'leert', 'zugleich', 'den', 'becher', 'indem', 'er', 'ihn', 'füllen', 'will']"
115,1883,10,"['indem', 'ich', 'emporstrebte', 'gegen', 'meine', 'last', 'verjüngte', 'ich', 'mich:', 'und', 'gerade', 'als', 'ich', 'härter', 'in', 'mir', 'wurde', 'lernte', 'ich', 'noch', 'die', 'anmuth']"
116,1883,11,"['schlafloser', 'qual', 'blutend']"
117,1883,12,"['böse', 'weisheit', 'sprüche', 'und', 'sprüchwörtliches', 'von', 'friedrich', 'nietzsche']"
118,1883,13,"['zarathustra’s', 'heilige', 'gelächter']"
119,1883,14,"['philosophie', 'der', 'zukunft']"
120,1883,15,"['nun', 'heitre', 'himmel', 'der', 'ewigkeit', 'berücken', 'meine', 'sinne', 'der', 'tropfen', 'thau']"
121,1883,16,"['die', 'natur', 'muß', 'nach', 'analogie', 'des', 'menschen', 'vorgestellt', 'werden', 'als', 'irrend', 'versuchend', 'gut', 'und', 'böse', '—', 'als', 'kämpfend', 'und', 'sich', 'überwindend']"
122,1883,17,"['und', 'wenn', 'du', 'das', 'leben', 'einst', 'nicht', 'aushalten', 'kannst', 'mußt', 'du', 'suchen', 'es', 'lieb', 'zu', 'gewinnen', '—', 'solches', 'nämlich', 'war', 'immer', 'der', 'kunstgriff', 'der', 'weisesten']"
123,1883,18,"['wenn', 'du', 'nicht', 'beten', 'kannst', 'warum', 'fluchst', 'du', 'nicht', 'wenigstens?', 'siehst', 'du', 'nicht', 'daß', 'wir', 'ums', 'leben', 'ringen?']"
124,1883,19,"['trost', '1)', 'daß', 'so', 'vieles', 'nicht', 'zu', 'errathen', 'ist']"
125,1883,20,"['du', 'gehst', 'den', 'weg', 'der', 'größe:', 'nun', 'ist', 'für', 'dich', 'abgrund', 'und', '—', 'gipfel', 'in', 'einem', 'beschlossen']"
126,1883,21,"['(zu', '3', ')']"
127,1883,22,"['allein', 'mit', 'mir', 'und', 'meinem', 'frohlockenden', 'gewissen']"
128,1883,23,"['eine', 'kleine', 'unschuldige', 'geschichte', 'die', 'aber', 'viel', 'unfug', 'gestiftet', 'hat:', 'ich', 'erzähle', 'sie', 'euch', '—', 'den', 'unfug', 'mögt', 'ihr', 'euch', 'selber', 'erzählen!']"
129,1883,24,"['daß', 'es', 'schwer', 'ist', 'den', 'griechen', 'nahe', 'zu', 'kommen', 'daß', 'man', 'sich', 'ihnen', 'sogar', 'ferner', 'fühlt', 'wenn', 'man', 'sie', 'lange', 'betrachtet', 'hat:', 'dies', 'ist', 'der', 'satz', 'und', 'der', 'ganz', 'persönliche', 'seufzer', 'mit', 'dem', 'ich', 'meine', 'betrachtung', 'über', 'die', 'griechen', 'als', 'menschenkenner', 'anheben', 'will', 'man', 'kann', 'eine', 'gute', 'weile', 'im', 'entgegengesetzten', 'glauben', 'mit', 'ihnen', 'leben']"
130,1884,25,"['die', 'ewige', 'wiederkunft']"
131,1884,26,"['das', 'vorläufige', 'und', 'die', 'vorläufer']"
132,1884,27,"['das', 'nachdenken', 'über', 'freiheit', 'und', 'unfreiheit', 'des', 'willens', 'hat', 'mich', 'zu', 'einer', 'lösung', 'dieses', 'problems', 'geführt', 'die', 'man', 'sich', 'gründlicher', 'und', 'abschließender', 'gar', 'nicht', 'denken', 'kann', '—', 'nämlich', 'zur', 'beseitigung', 'des', 'problems', 'vermöge', 'der', 'erlangten', 'einsicht:', 'es', 'giebt', 'gar', 'keinen', 'willen', 'weder', 'einen', 'freien', 'noch', 'einen', 'unfreien']"
133,1884,28,"['[z', 'ii', '5b]']"
134,1884,29,"['solche', 'macht', 'man', 'mit', 'gründen', 'mißtrauisch;', 'aber', 'mit', 'erhabenen', 'gebärden', 'überzeugt', 'man', 'sie']"
